Proyecto,Indicador detectado por Python,Categoría,Estado de evidencia,Evidencia original a revisar,Campo de origen,Score semántico,Prioridad dentro del proyecto,Cómo apareció en la consulta,Indicador compartido,Otros proyectos con el indicador,ID del proyecto,Código del indicador,ID del fragmento,Score semántico del proyecto,Score de grafo,Nota de lectura
A nutritionally focused program for community-living older adults resulted in improved health and well-being,El proyecto implementa acciones orientadas a mejorar la calidad de vida de personas en situación de discapacidad.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Objectives: Among older adults, malnutrition is common and is associated with increased risk for impaired health and functionality, conditions further associated with poorer quality of life. In this study of community-living older adults, our objective was to quantify outcome changes following identification and treatment of malnutrition or its risk. Design: Our intervention was a nutritional quality improvement program (QIP). The nutritional QIP included: (i) education of participants about the importance of complete and balanced macro- and micronutrient intake plus physical exercise, (ii) nutritional intervention with dietary counseling; and (iii) provision of oral nutritional supplements (ONS) for daily intake over 60 days. Follow-up measurements took place 30 days after ONS treatment ended, i.e., 90 days after start of intervention.",resumen,0.571826,1,RECUPERADO_SEMANTICAMENTE,NO,,2-s2.0-85131371279,SAL-03,2-s2.0-85131371279::resumen::7,0.348739,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,community-based participatory research | eHealth | help seeking | Latin America | low- and middle-income countries | medical informatics | mental health | patient participation | patient satisfaction | telemedicine,palabras_clave,0.642145,1,AGREGADO_POR_GRAFO,SÍ,2-s2.0-105005783887 | 2-s2.0-105014099823,2-s2.0-105005783887,SAL-06,2-s2.0-105005783887::palabras_clave::12,,3.81774,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",El proyecto incluye procesos participativos de validación tecnológica con usuarios reales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"To ensure a user-centered design, we began with a series of co-design workshops, where stakeholders collaboratively identified key user needs. Following this, usability testing was conducted in 2 stages, alpha and beta, using the System Usability Scale (SUS) to assess functionality and user experience. To capture real-world interactions, a naturalistic observational trial ran from July 2022 to October 2023, collecting data on user engagement and system performance. This study integrated quantitative and qualitative analyses. Results: A total of 146 individuals participated in the co-design process, with 110 (75.3%) contributing to the development of platform components and 36 (24.7%) participating in usability testing.",resumen,0.628831,2,AGREGADO_POR_GRAFO,NO,,2-s2.0-105005783887,TEC-02,2-s2.0-105005783887::resumen::8,,3.81774,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study","El proyecto contribuye a consolidar redes de colaboración y alianzas entre comunidades, organizaciones e instituciones.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,community-based participatory research | eHealth | help seeking | Latin America | low- and middle-income countries | medical informatics | mental health | patient participation | patient satisfaction | telemedicine,palabras_clave,0.561092,3,AGREGADO_POR_GRAFO,NO,,2-s2.0-105005783887,SOC-02,2-s2.0-105005783887::palabras_clave::12,,3.81774,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Co-Designing, Developing, and Testing a Mental Health Platform for Young People Using a Participatory Design Methodology in Colombia: Mixed Methods Study",El proyecto fortalece el bienestar físico y mental de la población.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,community-based participatory research | eHealth | help seeking | Latin America | low- and middle-income countries | medical informatics | mental health | patient participation | patient satisfaction | telemedicine,palabras_clave,0.558455,4,AGREGADO_POR_GRAFO,NO,,2-s2.0-105005783887,SAL-01,2-s2.0-105005783887::palabras_clave::12,,3.81774,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Development and Implementation of DIALOG+S in the School Setting as a Tool for Promoting Adolescent Mental Well-Being and Resilience in a Post–Armed Conflict Area in Colombia: Exploratory Cluster Randomized Controlled Trial,Número de espacios públicos promovidos por el proyecto para debatir la problemática investigativa y social más allá del ámbito académico.,DIVULGACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,adolescents | armed conflict | DIALOG+ | DIALOG+S | digital intervention | mental health | mobile phone | psychosocial intervention | school,palabras_clave,0.551727,1,AGREGADO_POR_GRAFO,NO,,2-s2.0-105020034198,DIV-05,2-s2.0-105020034198::palabras_clave::11,,2.230703,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Enhancing medication adherence, depression, and values-based behaviors in HIV-positive individuals through acceptance and commitment therapy: A pilot study",El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Participants described the intervention as acceptable and relevant to addressing adherence barriers and mental health concerns. Findings underscore the potential for ACT to enhance antiretroviral adherence and psychological outcomes in middle-income countries, offering a scalable, culturally adaptable intervention for improving HIV care.",resumen,0.566351,1,AGREGADO_POR_GRAFO,SÍ,2-s2.0-105005783887 | 2-s2.0-105014099823,2-s2.0-105014099823,SAL-06,2-s2.0-105014099823::resumen::8,,4.004355,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Modelo de referencia para la detección de eventos de contaminación industrial basado en una red de sensores [A reference model for detection of industrial pollution events based on a sensors network,"Nivel en que los resultados, metodologías o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por públicos diversos.",DIVULGACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"El manejo de esta heterogeneidad motivó a diseñar un modelo de referencia que sirviera de guía para realizar las funciones de detección, almacenamiento, procesamiento y visualización/publicación de los datos, usando las tecnologías más adecuadas. La idea es que este modelo de referencia pueda posteriormente ser instanciado con componentes de hardware y software específicos, que respondan a las necesidades de determinadas empresas o entes gubernamentales, interesados en tomar acciones preventivas o correctivas sobre la contaminación ambiental. En este artículo se presenta el modelo de referencia propuesto y se describe un prototipo que instancia este modelo. El prototipo desarrollado está enfocado en la medición de la contaminación auditiva en una empresa del sector automotriz en Bogotá.",resumen,0.619431,1,RECUPERADO_SEMANTICAMENTE,NO,,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016,DIV-04,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016::resumen::8,0.408659,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Modelo de referencia para la detección de eventos de contaminación industrial basado en una red de sensores [A reference model for detection of industrial pollution events based on a sensors network,El proyecto desarrolla productos tecnológicos con participación de actores no académicos o sectores aplicados.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"El manejo de esta heterogeneidad motivó a diseñar un modelo de referencia que sirviera de guía para realizar las funciones de detección, almacenamiento, procesamiento y visualización/publicación de los datos, usando las tecnologías más adecuadas. La idea es que este modelo de referencia pueda posteriormente ser instanciado con componentes de hardware y software específicos, que respondan a las necesidades de determinadas empresas o entes gubernamentales, interesados en tomar acciones preventivas o correctivas sobre la contaminación ambiental. En este artículo se presenta el modelo de referencia propuesto y se describe un prototipo que instancia este modelo. El prototipo desarrollado está enfocado en la medición de la contaminación auditiva en una empresa del sector automotriz en Bogotá.",resumen,0.601599,2,RECUPERADO_SEMANTICAMENTE,NO,,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016,TEC-01,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016::resumen::8,0.408659,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Modelo de referencia para la detección de eventos de contaminación industrial basado en una red de sensores [A reference model for detection of industrial pollution events based on a sensors network,El proyecto genera desarrollos tecnológicos originales con aplicación demostrada fuera del ámbito académico.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"El manejo de esta heterogeneidad motivó a diseñar un modelo de referencia que sirviera de guía para realizar las funciones de detección, almacenamiento, procesamiento y visualización/publicación de los datos, usando las tecnologías más adecuadas. La idea es que este modelo de referencia pueda posteriormente ser instanciado con componentes de hardware y software específicos, que respondan a las necesidades de determinadas empresas o entes gubernamentales, interesados en tomar acciones preventivas o correctivas sobre la contaminación ambiental. En este artículo se presenta el modelo de referencia propuesto y se describe un prototipo que instancia este modelo. El prototipo desarrollado está enfocado en la medición de la contaminación auditiva en una empresa del sector automotriz en Bogotá.",resumen,0.590465,3,RECUPERADO_SEMANTICAMENTE,NO,,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016,TEC-05,titulo_anio:modelo de referencia para la deteccion de eventos de contaminacion industrial basado en una red de sensores [a reference model for detection of industrial pollution events based on a sensors network|2016::resumen::8,0.408659,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Software codesign between end users and developers to enhance utility for biodiversity conservation,"El proyecto desarrolla soluciones ambientales asociadas a servicios ecosistémicos, biodiversidad o sostenibilidad ambiental.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,applied ecology | biodiversity | biogeography | conservation | informatics,palabras_clave,0.678049,1,AGREGADO_POR_GRAFO,NO,,2-s2.0-85213377303,AMB-01,2-s2.0-85213377303::palabras_clave::9,,3.672265,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
