Proyecto,Indicador detectado por Python,Categoría,Estado de evidencia,Evidencia original a revisar,Campo de origen,Score semántico,Prioridad dentro del proyecto,Cómo apareció en la consulta,Indicador compartido,Otros proyectos con el indicador,ID del proyecto,Código del indicador,ID del fragmento,Score semántico del proyecto,Score de grafo,Nota de lectura
Circular bioeconomy pathways for farmer cooperatives,"El proyecto genera ingresos adicionales mediante la implementación, validación o comercialización de procesos, metodologías o productos nuevos o mejorados.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Analizar ingresos adicionales derivados de la implementación y comercialización de procesos productivos mejorados.,objetivos,0.760597,1,AGREGADO_POR_GRAFO,NO,,ART-DEMO-004,ECO-01,ART-DEMO-004::objetivos::12,,7.167333,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Circular bioeconomy pathways for farmer cooperatives,El proyecto logra reducir costos en procesos organizativos o productivos mediante la implementación de mejoras o innovaciones.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Analizar ingresos adicionales derivados de la implementación y comercialización de procesos productivos mejorados.,objetivos,0.575703,2,AGREGADO_POR_GRAFO,NO,,ART-DEMO-004,ECO-02,ART-DEMO-004::objetivos::12,,7.167333,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Circular bioeconomy pathways for farmer cooperatives,Los resultados tecnológicos son desarrollados con potencial de comercialización.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Analizar ingresos adicionales derivados de la implementación y comercialización de procesos productivos mejorados.,objetivos,0.553126,3,AGREGADO_POR_GRAFO,NO,,ART-DEMO-004,TEC-03,ART-DEMO-004::objetivos::12,,7.167333,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Consenso Colombiano de Tratamiento del Espectro de Acretismo Placentario (EAP),El proyecto desarrolla intervenciones que contribuyeron a disminuir tasas de mortalidad en poblaciones específicas.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Introducción: el espectro de acretismo placentario (EAP) es una condición asociada a sangrado masivo posparto y mortalidad materna. Las guías de manejo publicadas en países de altos ingresos recomiendan la participación de grupos interdisciplinarios en hospitales con recursos suficientes para realizar procedimientos complejos. Sin embargo, algunas de las recomendaciones de estas guías resultan difíciles de aplicar en países de bajos y medianos ingresos. OBJETIVOS: este consenso busca formular recomendaciones generales para el tratamiento del EAP en Colombia. Materiales y métodos: en el consenso participaron 23 panelistas, quienes respondieron 31 preguntas sobre el tratamiento de EAP. Los panelistas fueron seleccionados con base en la participación en dos encuestas realizadas para determinar la capacidad resolutiva de hospitales en el país y la región.",resumen,0.66888,1,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85141889957 | 2-s2.0-85189898702,2-s2.0-85141889957,SAL-04,2-s2.0-85141889957::resumen::7,,3.082494,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Consenso Colombiano de Tratamiento del Espectro de Acretismo Placentario (EAP),El proyecto contribuye a prevenir riesgos en salud pública.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Introducción: el espectro de acretismo placentario (EAP) es una condición asociada a sangrado masivo posparto y mortalidad materna. Las guías de manejo publicadas en países de altos ingresos recomiendan la participación de grupos interdisciplinarios en hospitales con recursos suficientes para realizar procedimientos complejos. Sin embargo, algunas de las recomendaciones de estas guías resultan difíciles de aplicar en países de bajos y medianos ingresos. OBJETIVOS: este consenso busca formular recomendaciones generales para el tratamiento del EAP en Colombia. Materiales y métodos: en el consenso participaron 23 panelistas, quienes respondieron 31 preguntas sobre el tratamiento de EAP. Los panelistas fueron seleccionados con base en la participación en dos encuestas realizadas para determinar la capacidad resolutiva de hospitales en el país y la región.",resumen,0.650134,2,AGREGADO_POR_GRAFO,NO,,2-s2.0-85141889957,SAL-02,2-s2.0-85141889957::resumen::7,,3.082494,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Consenso Colombiano de Tratamiento del Espectro de Acretismo Placentario (EAP),El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Para lograr ese objetivo los participantes recomiendan que los entes reguladores de la prestación de servicios de salud a nivel nacional, regional o local vigilen el proceso de remisión de estas pacientes, facilitando rutas administrativas en caso de que no exista contrato previo entre el asegurador y el hospital o la clínica seleccionada (IPS). Recomendación 3. En los centros de referencia para pacientes con EAP se invita a la creación de equipos que incorporen un grupo fijo de especialistas (obstetras, urólogos, cirujanos generales, radiólogos intervencionistas) encargados de atender todos los casos de EAP. Es recomendable que esos grupos interdisciplinarios utilicen el modelo de ""paquete de intervención"" como guía para la preparación de los centros de referencia para EAP.",resumen,0.604735,3,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85141889957 | ART-DEMO-001,2-s2.0-85141889957,SAL-06,2-s2.0-85141889957::resumen::10,,3.082494,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Consenso Colombiano de Tratamiento del Espectro de Acretismo Placentario (EAP),"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",CONDICIONES_COLABORACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Evaluar la aplicabilidad y efectividad de las recomendaciones emitidas requerirá investigaciones adicionales.,resumen,0.594072,4,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85141889957 | ART-DEMO-001,2-s2.0-85141889957,COL-01,2-s2.0-85141889957::resumen::16,,3.082494,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Cultural memory workshops and digital storytelling with displaced youth,"El proyecto fortalece procesos de construcción, preservación y revitalización de la memoria e identidad cultural en comunidades o territorios.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Fortalecer la preservación y revitalización de la memoria e identidad cultural en la comunidad participante.,objetivos,0.832114,1,AGREGADO_POR_GRAFO,NO,,ART-DEMO-003,CUL-01,ART-DEMO-003::objetivos::12,,3.813264,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Cultural memory workshops and digital storytelling with displaced youth,"El proyecto promueve la conservación, valorización o enriquecimiento del patrimonio cultural, ya sea material o inmaterial.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Fortalecer la preservación y revitalización de la memoria e identidad cultural en la comunidad participante.,objetivos,0.588173,2,AGREGADO_POR_GRAFO,NO,,ART-DEMO-003,CUL-02,ART-DEMO-003::objetivos::12,,3.813264,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,Número de políticas públicas o programas gubernamentales modificados o implementados con base en hallazgos del proyecto.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Examinar programas públicos implementados a partir de los hallazgos y recomendaciones del estudio.,objetivos,0.708295,1,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-005,POL-03,ART-DEMO-005::objetivos::12,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,"El proyecto facilita la participación activa de los grupos de interés en procesos de formulación, monitoreo o evaluación de políticas públicas o iniciativas de ciencia ciudadana.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Examinar programas públicos implementados a partir de los hallazgos y recomendaciones del estudio.,objetivos,0.707345,2,RECUPERADO_SEMANTICAMENTE,SÍ,ART-DEMO-002 | ART-DEMO-005,ART-DEMO-005,POL-01,ART-DEMO-005::objetivos::12,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,El proyecto implica colaboración efectiva con entidades públicas o actores sociales en la formulación o evaluación de políticas.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Examinar programas públicos implementados a partir de los hallazgos y recomendaciones del estudio.,objetivos,0.650861,3,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-005,POL-06,ART-DEMO-005::objetivos::12,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,Número de informes técnicos o documentos de política generados desde el proyecto y entregados a entidades gubernamentales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"The article analyzes the co-production of evidence briefs with local government, environmental groups and residents to support climate adaptation decisions. Findings informed a local policy program, were translated into accessible materials and discussed in public policy roundtables.",resumen,0.612117,4,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-005,POL-07,ART-DEMO-005::resumen::5,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,"Número de manuales, herramientas o metodologías derivadas del proyecto y adoptadas por entidades estatales.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"The article analyzes the co-production of evidence briefs with local government, environmental groups and residents to support climate adaptation decisions. Findings informed a local policy program, were translated into accessible materials and discussed in public policy roundtables.",resumen,0.591292,5,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-005,POL-04,ART-DEMO-005::resumen::5,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Evidence briefs for local climate adaptation policy,"El proyecto genera mejoras sostenibles en el entorno ambiental, económico y social de los grupos de interés.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,climate adaptation; policy program; evidence briefs; public policy,palabras_clave,0.581279,6,RECUPERADO_SEMANTICAMENTE,SÍ,2-s2.0-85088984023 | ART-DEMO-005,ART-DEMO-005,AMB-02,ART-DEMO-005::palabras_clave::6,0.468949,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Factores psicológicos de los estudiantes universitarios y calidad de vida: Una revisión sistemática prepandemia [Psychological factors of university students and quality of life: A systematic review pre-pandemic],Mejora en la calidad de vida o bienestar atribuida al proyecto.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,health | psychological factors | quality of life | systematic review | university students,palabras_clave,0.612708,1,AGREGADO_POR_GRAFO,NO,,2-s2.0-85156248326,SOC-01,2-s2.0-85156248326::palabras_clave::14,,2.378042,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Factores psicológicos de los estudiantes universitarios y calidad de vida: Una revisión sistemática prepandemia [Psychological factors of university students and quality of life: A systematic review pre-pandemic],El proyecto fortalece el bienestar físico y mental de la población.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,health | psychological factors | quality of life | systematic review | university students,palabras_clave,0.574101,2,AGREGADO_POR_GRAFO,NO,,2-s2.0-85156248326,SAL-01,2-s2.0-85156248326::palabras_clave::14,,2.378042,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
"Global burden of 288 causes of death and life expectancy decomposition in 204 countries and territories and 811 subnational locations, 1990–2021: a systematic analysis for the Global Burden of Disease Study 2021",El proyecto desarrolla intervenciones que contribuyeron a disminuir tasas de mortalidad en poblaciones específicas.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Background: Regular, detailed reporting on population health by underlying cause of death is fundamental for public health decision making. Cause-specific estimates of mortality and the subsequent effects on life expectancy worldwide are valuable metrics to gauge progress in reducing mortality rates. These estimates are particularly important following large-scale mortality spikes, such as the COVID-19 pandemic. When systematically analysed, mortality rates and life expectancy allow comparisons of the consequences of causes of death globally and over time, providing a nuanced understanding of the effect of these causes on global populations.",resumen,0.62004,1,NO_RECUPERADO_EN_LA_CONSULTA,SÍ,2-s2.0-85141889957 | 2-s2.0-85189898702,2-s2.0-85189898702,SAL-04,2-s2.0-85189898702::resumen::7,,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Open sensors and citizen science for urban air quality communication,El proyecto desarrolla productos y estrategias eficaces para comunicar el conocimiento generado a públicos no especializados.,DIVULGACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Diseñar y utilizar productos de comunicación del conocimiento para públicos no especializados.,objetivos,0.859679,1,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-002,DIV-01,ART-DEMO-002::objetivos::12,0.428583,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
